Product Name,Discount Price,Actual Price,Color,SKU,Image URLs,US Size,CA Size,UK Size,AU Size,EU Size,BR Size,FR Size,RU Size,Style,Type,Material,Neckline,Sleeve Style,Length,Pattern Type,Decoration,Fit Type,Occasion,Package Include,Fabric Elasticity,Sheer,Care Instructions,Sleeve Type,Waist Line,With Belt
2 Piece Outfit Nope Not Today Print Skew Neck Long Sleeve Pullover Top with Stretchy Waist Long Pants Tracksuit Jogger Set,$12.02,$16.02,Gray,SKU: YS2455TA4-bwvg2-ga,"""https://image.geeko.ltd/small/c886970b-dd90-4f0a-b8d2-4d14a268bb24-02965-pc"", ""https://image.geeko.ltd/small/c886970b-dd90-4f0a-b8d2-4d14a268bb24-02965-pc"", ""https://image.geeko.ltd/small/c886970b-dd90-4f0a-b8d2-4d14a268bb24-02965-pc-sec"", ""https://image.geeko.ltd/small/c886970b-dd90-4f0a-b8d2-4d14a268bb24-02965-pc-0"", ""https://image.geeko.ltd/small/c886970b-dd90-4f0a-b8d2-4d14a268bb24-02965-pc-1"", ""https://image.geeko.ltd/small/c886970b-dd90-4f0a-b8d2-4d14a268bb24-02965-pc-2"", ""https://image.geeko.ltd/small/c886970b-dd90-4f0a-b8d2-4d14a268bb24-02965-pc-3"", ""https://image.geeko.ltd/small/c886970b-dd90-4f0a-b8d2-4d14a268bb24-02965-pc-4"", ""https://image.geeko.ltd/small/c886970b-dd90-4f0a-b8d2-4d14a268bb24-02965-pc-5"", ""https://image.geeko.ltd/small/c886970b-dd90-4f0a-b8d2-4d14a268bb24-02965-pc-6"", ""https://image.geeko.ltd/small/c886970b-dd90-4f0a-b8d2-4d14a268bb24-02965-pc-7""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL", Chic, Pants Sets," 91%Polyester,9%Elastane", Round Neck, Long Sleeve, Long, Slogan, Tied Detail, Regular, Daily, 1*Pants Sets, Non-Stretch, No," Machine wash, do not dry clean",,,
2 Piece Outfit Nope Not Today Print Skew Neck Long Sleeve Pullover Top with Stretchy Waist Long Pants Tracksuit Jogger Set,$12.02,$16.02,Green,SKU: YS2455TA4-bwvg2-gr,"""https://image.geeko.ltd/small/0070c8f1-cef4-4811-913b-0708ff286af1-23883-pc"", ""https://image.geeko.ltd/small/0070c8f1-cef4-4811-913b-0708ff286af1-23883-pc"", ""https://image.geeko.ltd/small/0070c8f1-cef4-4811-913b-0708ff286af1-23883-pc-sec"", ""https://image.geeko.ltd/small/0070c8f1-cef4-4811-913b-0708ff286af1-23883-pc-0"", ""https://image.geeko.ltd/small/0070c8f1-cef4-4811-913b-0708ff286af1-23883-pc-1"", ""https://image.geeko.ltd/small/0070c8f1-cef4-4811-913b-0708ff286af1-23883-pc-2"", ""https://image.geeko.ltd/small/0070c8f1-cef4-4811-913b-0708ff286af1-23883-pc-3"", ""https://image.geeko.ltd/small/0070c8f1-cef4-4811-913b-0708ff286af1-23883-pc-4"", ""https://image.geeko.ltd/small/0070c8f1-cef4-4811-913b-0708ff286af1-23883-pc-5"", ""https://image.geeko.ltd/small/0070c8f1-cef4-4811-913b-0708ff286af1-23883-pc-6""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL", Chic, Pants Sets," 91%Polyester,9%Elastane", Round Neck, Long Sleeve, Long, Slogan, Tied Detail, Regular, Daily, 1*Pants Sets, Non-Stretch, No," Machine wash, do not dry clean",,,
2 Piece Outfit Nope Not Today Print Skew Neck Long Sleeve Pullover Top with Stretchy Waist Long Pants Tracksuit Jogger Set,$12.02,$16.02,Black,SKU: YS2455TA4-bwvg2-bk,"""https://image.geeko.ltd/small/972970cd-e286-4a6b-844e-237261ad03d3-02963-pc"", ""https://image.geeko.ltd/small/972970cd-e286-4a6b-844e-237261ad03d3-02963-pc"", ""https://image.geeko.ltd/small/972970cd-e286-4a6b-844e-237261ad03d3-02963-pc-sec"", ""https://image.geeko.ltd/small/972970cd-e286-4a6b-844e-237261ad03d3-02963-pc-0"", ""https://image.geeko.ltd/small/972970cd-e286-4a6b-844e-237261ad03d3-02963-pc-1"", ""https://image.geeko.ltd/small/972970cd-e286-4a6b-844e-237261ad03d3-02963-pc-2"", ""https://image.geeko.ltd/small/972970cd-e286-4a6b-844e-237261ad03d3-02963-pc-3"", ""https://image.geeko.ltd/small/972970cd-e286-4a6b-844e-237261ad03d3-02963-pc-4"", ""https://image.geeko.ltd/small/972970cd-e286-4a6b-844e-237261ad03d3-02963-pc-5"", ""https://image.geeko.ltd/small/972970cd-e286-4a6b-844e-237261ad03d3-02963-pc-6"", ""https://image.geeko.ltd/small/972970cd-e286-4a6b-844e-237261ad03d3-02963-pc-7""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL", Chic, Pants Sets," 91%Polyester,9%Elastane", Round Neck, Long Sleeve, Long, Slogan, Tied Detail, Regular, Daily, 1*Pants Sets, Non-Stretch, No," Machine wash, do not dry clean",,,
2PCS Plunge Long Sleeve Guipure Lace Top & Shorts Set,$19.21,$25.61,,SKU: X5986-bwss2-w,"""https://image.geeko.ltd/small/8d629753-bd60-46ee-892a-c8094fa6258b-11841-pc"", ""https://image.geeko.ltd/small/8d629753-bd60-46ee-892a-c8094fa6258b-11841-pc"", ""https://image.geeko.ltd/small/8d629753-bd60-46ee-892a-c8094fa6258b-11841-pc-sec"", ""https://image.geeko.ltd/small/8d629753-bd60-46ee-892a-c8094fa6258b-11841-pc-0"", ""https://image.geeko.ltd/small/8d629753-bd60-46ee-892a-c8094fa6258b-11841-pc-1""","2XL(16), L(8-10), M(6), S(4), XL(12)","2XL, L, M, S, XL","2XL(20), L(12-14), M(10), S(8), XL(16)","2XL(20), L(12-14), M(10), S(8), XL(16)","2XL(48), L(40-42), M(38), S(36), XL(44)","G2(2XL), G(L), M(M), P(S), GG(XL)","48(2XL), L(40-42), M(38), S(36), XL(44)","2XL, L, M, S, XL", Sexy, Shorts Set, 100%Polyester, Plunge, Long Sleeve, Above Knee, Plain, Lace, Skinny," Daily,Night Out", 2PCS/Set 1*Top & Shorts, Non-Stretch, No," Machine wash, do not dry clean",,,
Snap Button Pocket Design Cami Top & Zipper Design Shorts Set,$18.19,$24.25,,SKU: WMYS0001-bwdf-bl,"""https://image.geeko.ltd/small/001c65bc-cfe8-48fe-923f-26691b564c08-38130-pc"", ""https://image.geeko.ltd/small/001c65bc-cfe8-48fe-923f-26691b564c08-38130-pc-sec"", ""https://image.geeko.ltd/small/001c65bc-cfe8-48fe-923f-26691b564c08-38130-pc-0"", ""https://image.geeko.ltd/small/001c65bc-cfe8-48fe-923f-26691b564c08-38130-pc-1"", ""https://image.geeko.ltd/small/001c65bc-cfe8-48fe-923f-26691b564c08-38130-pc-2"", ""https://image.geeko.ltd/small/001c65bc-cfe8-48fe-923f-26691b564c08-38130-pc-3"", ""https://image.geeko.ltd/small/001c65bc-cfe8-48fe-923f-26691b564c08-38130-pc-4"", ""https://image.geeko.ltd/small/001c65bc-cfe8-48fe-923f-26691b564c08-38130-pc-5"", ""https://image.geeko.ltd/small/001c65bc-cfe8-48fe-923f-26691b564c08-38130-pc-6"", ""https://image.geeko.ltd/small/001c65bc-cfe8-48fe-923f-26691b564c08-38130-pc-7""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic", Shorts Set, 100%Polyester, Square Neck," Sleeveless,Thick Strap", Above Knee, Plain," Button,Drawstring,Pocket,Zipper", Regular, Daily, 1*Shorts Set, Non-Stretch, No, Machine wash or professional dry clean,,,
Swiss Dot Tied Detail Puff Sleeve Top & Ruffles Skirt Set,$18.42,$24.56,,SKU: ODS3919-bwss2-bl,"""https://image.geeko.ltd/small/b3bc4fa8-c8c8-487e-90d9-9a8d33dfcea6-13091-pc"", ""https://image.geeko.ltd/small/b3bc4fa8-c8c8-487e-90d9-9a8d33dfcea6-13091-pc"", ""https://image.geeko.ltd/small/b3bc4fa8-c8c8-487e-90d9-9a8d33dfcea6-13091-pc-sec"", ""https://image.geeko.ltd/small/b3bc4fa8-c8c8-487e-90d9-9a8d33dfcea6-13091-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Chic,Sexy", Skirt Sets, 100%Polyester, V-Neck, Half Sleeve, Mini, Plain," Contrast Lace,Tied Detail", Regular," Daily,Vacation", 2PCS, Slight Stretch, No, Machine wash or professional dry clean, Puff Sleeve, High Waist,
2 Piece Sets for Women Casual Summer Lounge Set Short Sleeve Tops and Elastic Waist Shorts Tracksuit,$11.18,$14.9,Orange,SKU: ODF4065-bwss2-or,"""https://image.geeko.ltd/small/d8292eb7-f333-47be-ab07-2519255e28e4-24051-pc"", ""https://image.geeko.ltd/small/d8292eb7-f333-47be-ab07-2519255e28e4-24051-pc"", ""https://image.geeko.ltd/small/d8292eb7-f333-47be-ab07-2519255e28e4-24051-pc-sec"", ""https://image.geeko.ltd/small/d8292eb7-f333-47be-ab07-2519255e28e4-24051-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Chic, Shorts Set," 51%Cotton,49%Polyester", O-neck, Short Sleeve, Above Knee, Plain, Pocket, Regular," Daily,Vacation", 1*Shorts Set, Slight Stretch, No, Machine wash or professional dry clean,,,
2 Piece Sets for Women Casual Summer Lounge Set Short Sleeve Tops and Elastic Waist Shorts Tracksuit,$11.18,$14.9,Coffee,SKU: ODF4065-bwss2-co,"""https://image.geeko.ltd/small/316a7653-3985-43ce-b828-6bd6b1709da4-31457-pc"", ""https://image.geeko.ltd/small/316a7653-3985-43ce-b828-6bd6b1709da4-31457-pc"", ""https://image.geeko.ltd/small/316a7653-3985-43ce-b828-6bd6b1709da4-31457-pc-sec"", ""https://image.geeko.ltd/small/316a7653-3985-43ce-b828-6bd6b1709da4-31457-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Chic, Shorts Set," 51%Cotton,49%Polyester", O-neck, Short Sleeve, Above Knee, Plain, Pocket, Regular," Daily,Vacation", 1*Shorts Set, Slight Stretch, No, Machine wash or professional dry clean,,,
2 Piece Sets for Women Casual Summer Lounge Set Short Sleeve Tops and Elastic Waist Shorts Tracksuit,$11.18,$14.9,Green,SKU: ODF4065-bwss2-gr,"""https://image.geeko.ltd/small/01091510-daf3-45f0-9d69-c514a1fd1da0-29409-pc"", ""https://image.geeko.ltd/small/01091510-daf3-45f0-9d69-c514a1fd1da0-29409-pc"", ""https://image.geeko.ltd/small/01091510-daf3-45f0-9d69-c514a1fd1da0-29409-pc-sec"", ""https://image.geeko.ltd/small/01091510-daf3-45f0-9d69-c514a1fd1da0-29409-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Chic, Shorts Set," 51%Cotton,49%Polyester", O-neck, Short Sleeve, Above Knee, Plain, Pocket, Regular," Daily,Vacation", 1*Shorts Set, Slight Stretch, No, Machine wash or professional dry clean,,,
3PCS Lantern Sleeve Shirt & Floral Print Shorts Set With Crop Top,$14.42,$19.23,Red,SKU: LZR12842F-bwvg2-r,"""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-sec"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-0"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-1"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-2"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-3"", ""https://image.geeko.ltd/small/0c695a3e-0595-40c0-9c0a-8b11bf32386c-10138-pc-4""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic"," Shorts Set,Suit Set"," 3%Elastane,97%Polyester"," Halter,Turn-down Collar"," Lantern Sleeve,Long Sleeve,Spaghetti Strap", Above Knee," Floral,Plain"," Frill Hem,Lantern Sleeve,Pocket,Shirred", Regular, Daily, 3PCS Shorts Set (With Top), Slight Stretch, No, Machine wash or professional dry clean,,,
3PCS Lantern Sleeve Shirt & Floral Print Shorts Set With Crop Top,$14.42,$19.23,Multicolor,SKU: LZR12842J-bwvg2-mu,"""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc"", ""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc-sec"", ""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc-0"", ""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc-1"", ""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc-2"", ""https://image.geeko.ltd/small/33a2a950-3e0d-408b-b08c-9f35524cbc94-02227-pc-3""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic"," Shorts Set,Suit Set"," 3%Elastane,97%Polyester"," Halter,Turn-down Collar"," Lantern Sleeve,Long Sleeve,Spaghetti Strap", Above Knee," Floral,Plain"," Frill Hem,Lantern Sleeve,Pocket,Shirred", Regular, Daily, 3PCS Shorts Set (With Top), Slight Stretch, No, Machine wash or professional dry clean,,,
3PCS Lantern Sleeve Shirt & Floral Print Shorts Set With Crop Top,$14.42,$19.23,Yellow,SKU: LZR12842A-bwvg2-y,"""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc"", ""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc-sec"", ""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc-0"", ""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc-1"", ""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc-2"", ""https://image.geeko.ltd/small/5799953e-76e4-4317-925c-1a270e914502-36434-pc-3""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic"," Shorts Set,Suit Set"," 3%Elastane,97%Polyester"," Halter,Turn-down Collar"," Lantern Sleeve,Long Sleeve,Spaghetti Strap", Above Knee," Floral,Plain"," Frill Hem,Lantern Sleeve,Pocket,Shirred", Regular, Daily, 3PCS Shorts Set (With Top), Slight Stretch, No, Machine wash or professional dry clean,,,
Floral Tribal Print Hollow Out Tank Top & Pocket Design Shorts Set,$15.79,$21.05,,SKU: LZS2190QA8-bwdf2-gr,"""https://image.geeko.ltd/small/8ac1df19-a48d-4f81-ada2-25687913f13f-18739-pc"", ""https://image.geeko.ltd/small/8ac1df19-a48d-4f81-ada2-25687913f13f-18739-pc-sec"", ""https://image.geeko.ltd/small/8ac1df19-a48d-4f81-ada2-25687913f13f-18739-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Casual, Shorts Set," 97%Polyester,3%Elastane", O-neck, Sleeveless, Above Knee," Floral,Tribal"," Hollow-out,Pocket", Regular," Daily,Vacation", 1*Shorts Set (With Belt), Slight Stretch, No, Machine wash or professional dry clean,,, Yes
Ombre Tied Detail Top & Shorts Set,$9.89,$13.19,Hot Pink,SKU: LZR18239A4-bwla2-hp,"""https://image.geeko.ltd/small/a59180e6-ce94-424a-aad4-bffc3812bf5f-83492-pc"", ""https://image.geeko.ltd/small/a59180e6-ce94-424a-aad4-bffc3812bf5f-83492-pc-sec"", ""https://image.geeko.ltd/small/a59180e6-ce94-424a-aad4-bffc3812bf5f-83492-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic", Shorts Set," 95%Polyester,5%Elastane", O-neck, Short Sleeve, Above Knee, Ombre," Slit,Tied Detail", Regular," Daily,Vacation", 1*Shorts Set, Medium Stretch, No, Machine wash or professional dry clean,,,
Ombre Tied Detail Top & Shorts Set,$9.89,$13.19,Orange,SKU: LZR18239A4-bwla2-or,"""https://image.geeko.ltd/small/f0b00f9a-0761-44fb-a58d-d7c2383a0ec7-21388-pc"", ""https://image.geeko.ltd/small/f0b00f9a-0761-44fb-a58d-d7c2383a0ec7-21388-pc-sec"", ""https://image.geeko.ltd/small/f0b00f9a-0761-44fb-a58d-d7c2383a0ec7-21388-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic", Shorts Set," 95%Polyester,5%Elastane", O-neck, Short Sleeve, Above Knee, Ombre," Slit,Tied Detail", Regular," Daily,Vacation", 1*Shorts Set, Medium Stretch, No, Machine wash or professional dry clean,,,
Ombre Tied Detail Top & Shorts Set,$9.89,$13.19,Green,SKU: LZR18239A4-bwla2-gr,"""https://image.geeko.ltd/small/338d7b64-988f-4fec-983b-8b57ffaafb72-83056-pc"", ""https://image.geeko.ltd/small/338d7b64-988f-4fec-983b-8b57ffaafb72-83056-pc-sec"", ""https://image.geeko.ltd/small/338d7b64-988f-4fec-983b-8b57ffaafb72-83056-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL"," Casual,Chic", Shorts Set," 95%Polyester,5%Elastane", O-neck, Short Sleeve, Above Knee, Ombre," Slit,Tied Detail", Regular," Daily,Vacation", 1*Shorts Set, Medium Stretch, No, Machine wash or professional dry clean,,,
Striped Hollow Out Sleeveless Top & Drawstring Shorts Set,$14.29,$19.06,,SKU: XT8157-bwsm1-w,"""https://image.geeko.ltd/small/ecdea178-cc51-44e1-bb32-5e4708dcc002-86480-pc"", ""https://image.geeko.ltd/small/ecdea178-cc51-44e1-bb32-5e4708dcc002-86480-pc"", ""https://image.geeko.ltd/small/ecdea178-cc51-44e1-bb32-5e4708dcc002-86480-pc-sec"", ""https://image.geeko.ltd/small/ecdea178-cc51-44e1-bb32-5e4708dcc002-86480-pc-0"", ""https://image.geeko.ltd/small/ecdea178-cc51-44e1-bb32-5e4708dcc002-86480-pc-1"", ""https://image.geeko.ltd/small/ecdea178-cc51-44e1-bb32-5e4708dcc002-86480-pc-2"", ""https://image.geeko.ltd/small/ecdea178-cc51-44e1-bb32-5e4708dcc002-86480-pc-3"", ""https://image.geeko.ltd/small/ecdea178-cc51-44e1-bb32-5e4708dcc002-86480-pc-4"", ""https://image.geeko.ltd/small/ecdea178-cc51-44e1-bb32-5e4708dcc002-86480-pc-5"", ""https://image.geeko.ltd/small/ecdea178-cc51-44e1-bb32-5e4708dcc002-86480-pc-6""","L(8-10), M(6), S(4), XL(12), XXL(14)","L, M, S, XL, XXL","L(12-14), M(10), S(8), XL(16), XXL(18)","L(12-14), M(10), S(8), XL(16), XXL(18)","L(40-42), M(38), S(36), XL(44), XXL(46)","G(L), M(M), P(S), GG(XL), EG(XXL)","L(40-42), M(38), S(36), XL(44), XXL(46)","L, M, S, XL, XXL", Casual, Shorts Set, Polyester, Halter, Sleeveless, Above Knee, Striped, Hollow-out, Regular," Daily,Vacation", 1*Shorts Set, Non-Stretch,,,,,
Plus Size Denim Look Print Casual Top & Shorts Set,$9.32,$12.43,,SKU: APU4795A15-bwcr-bl,"""https://image.geeko.ltd/small/6ac4472c-70c9-470d-8f43-cc0314f290f5-89408-pc"", ""https://image.geeko.ltd/small/6ac4472c-70c9-470d-8f43-cc0314f290f5-89408-pc-sec"", ""https://image.geeko.ltd/small/6ac4472c-70c9-470d-8f43-cc0314f290f5-89408-pc-0"", ""https://image.geeko.ltd/small/6ac4472c-70c9-470d-8f43-cc0314f290f5-89408-pc-1"", ""https://image.geeko.ltd/small/6ac4472c-70c9-470d-8f43-cc0314f290f5-89408-pc-2"", ""https://image.geeko.ltd/small/6ac4472c-70c9-470d-8f43-cc0314f290f5-89408-pc-3""","0XL(12), 1XL(14), 2XL(16), 3XL(18), 4XL(20)","0XL, 1XL, 2XL, 3XL, 4XL","0XL(16), 1XL(18), 2XL(20), 3XL(22), 4XL(24)","0XL(16), 1XL(18), 2XL(20), 3XL(22), 4XL(24)","0XL(44), 1XL(46), 2XL(48), 3XL(50), 4XL(52)","G(0XL), G1(1XL), G2(2XL), G3(3XL), G4(4XL)","44(0XL), 46(1XL), 48(2XL), 50(3XL), 52(4XL)","0XL, 1XL, 2XL, 3XL, 4XL"," Basics,Casual", Shorts Set," 95%Polyester,5%Elastane", O-neck, Short Sleeve, Above Knee, All Over Print, Pocket, Regular, Daily, 1*Shorts Set, Medium Stretch, No, Machine wash or professional dry clean,, High Waist,
Camouflage Print Zip Up Top & Drawstring Pants Set,$16.15,$21.53,,SKU: JLY700A2-bwss2-cf,"""https://image.geeko.ltd/small/e80eceb6-a1ee-45c4-9da5-46bbeeb2547c-67142-pc"", ""https://image.geeko.ltd/small/e80eceb6-a1ee-45c4-9da5-46bbeeb2547c-67142-pc"", ""https://image.geeko.ltd/small/e80eceb6-a1ee-45c4-9da5-46bbeeb2547c-67142-pc-sec"", ""https://image.geeko.ltd/small/e80eceb6-a1ee-45c4-9da5-46bbeeb2547c-67142-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Casual, Pants Sets," 95%Polyester,5%Elastane", Turn-down Collar, Short Sleeve, Long, Camouflage," Drawstring,Pocket,Zipper", Regular, Daily, 1*Pants Set, Medium Stretch, No, Machine wash or professional dry clean,,,
Striped Pocket Design Buttoned Top & Shorts Set,$15.08,$20.1,,SKU: ODS5022-bwss2-bl,"""https://image.geeko.ltd/small/bf8aef38-2c08-4c69-9e02-2d0410b54eaf-01129-pc"", ""https://image.geeko.ltd/small/bf8aef38-2c08-4c69-9e02-2d0410b54eaf-01129-pc-sec"", ""https://image.geeko.ltd/small/bf8aef38-2c08-4c69-9e02-2d0410b54eaf-01129-pc-0""","L(8-10), M(6), S(4), XL(12)","L, M, S, XL","L(12-14), M(10), S(8), XL(16)","L(12-14), M(10), S(8), XL(16)","L(40-42), M(38), S(36), XL(44)","G(L), M(M), P(S), GG(XL)","L(40-42), M(38), S(36), XL(44)","L, M, S, XL", Chic, Shorts Set, 100%Polyester, Turn-down Collar, Long Sleeve, Above Knee, Striped," Button,Pocket", Regular, Daily, 1*Shorts Set, Slight Stretch, No, Machine wash or professional dry clean,,,
2PCS Plunge Long Sleeve Guipure Lace Top & Shorts Set,$19.21,$25.61,,SKU: X5986-bwve-w,"""https://image.geeko.ltd/small/45ba4a1b-055b-434d-86f2-4373dbd4b342-10963-pc"", ""https://image.geeko.ltd/small/45ba4a1b-055b-434d-86f2-4373dbd4b342-10963-pc"", ""https://image.geeko.ltd/small/45ba4a1b-055b-434d-86f2-4373dbd4b342-10963-pc-sec"", ""https://image.geeko.ltd/small/45ba4a1b-055b-434d-86f2-4373dbd4b342-10963-pc-0"", ""https://image.geeko.ltd/small/45ba4a1b-055b-434d-86f2-4373dbd4b342-10963-pc-1"", ""https://image.geeko.ltd/small/45ba4a1b-055b-434d-86f2-4373dbd4b342-10963-pc-2"", ""https://image.geeko.ltd/small/45ba4a1b-055b-434d-86f2-4373dbd4b342-10963-pc-3"", ""https://image.geeko.ltd/small/45ba4a1b-055b-434d-86f2-4373dbd4b342-10963-pc-4""","2XL(16), L(8-10), M(6), S(4), XL(12)","2XL, L, M, S, XL","2XL(20), L(12-14), M(10), S(8), XL(16)","2XL(20), L(12-14), M(10), S(8), XL(16)","2XL(48), L(40-42), M(38), S(36), XL(44)","G2(2XL), G(L), M(M), P(S), GG(XL)","48(2XL), L(40-42), M(38), S(36), XL(44)","2XL, L, M, S, XL", Sexy, Shorts Set, 100%Polyester, Plunge, Long Sleeve, Above Knee, Plain, Lace, Skinny," Daily,Night Out", 2PCS/Set 1*Top & Shorts, Non-Stretch, No," Machine wash, do not dry clean",,,
